EUROPEAN MARKET SHARES,,,,,,
Date,Firefox,IE,Chrome,Safari,Opera,Other
2010-01,39.86,44.91,5.78,3.68,4.33,1.45
2010-02,38.99,45.5,6.52,3.67,4.29,1.02
2010-03,38.28,45.32,7.36,3.76,4.32,0.96
2010-04,38.72,44.1,8.27,3.8,4.15,0.96
2010-05,38.61,43.32,8.89,3.88,4.41,0.9
2010-06,38.09,43.18,9.6,3.9,4.4,0.83
2010-07,37.98,42.61,10.13,3.89,4.55,0.85
2010-08,37.94,42.01,10.81,4.11,4.33,0.8
2010-09,38.97,40.26,11.32,4.32,4.48,0.65
2010-10,38.66,39.52,12.29,4.55,4.38,0.61
2010-11,38.5,38.91,13.09,4.64,4.27,0.59
2010-12,38.11,37.52,14.58,4.62,4.57,0.6
2011-01,37.92,36.91,15.47,4.91,4.23,0.56
2011-02,37.69,36.54,16.03,4.9,4.26,0.58
