Date,Win7,Win10,WinXP,WinVista,Win2003,Other
2017-01,47.46,32.84,5.72,1.2,0.08,0.03
2017-02,47.17,33.8,5.53,1.12,0.07,0.02
2017-03,47.06,34.25,5.47,1.07,0.07,0.02
2017-04,46.23,35.53,5.26,1.02,0.07,0.02
2017-05,46.37,35.76,5.06,0.97,0.06,0.02
2017-06,45.76,36.6,4.86,0.93,0.06,0.02
2017-07,45.73,36.93,4.94,0.85,0.07,0.02
2017-08,45.1,37.87,4.48,0.82,0.08,0.02
2017-09,43.99,39.3,4.19,0.79,0.07,0.02
2017-10,42.67,40.95,3.89,0.73,0.07,0.02
2017-11,42.51,41.36,3.66,0.67,0.08,0.01
2017-12,41.89,41.69,3.6,0.7,0.08,0.02
2018-01,41.86,42.78,3.36,0.74,0.07,0.02
