Month,Labels,C2-T,C3-T,C4-T,C5-T,C6-T,C7-T,C8-T,C9-T,C10-T,C11-T,C12-T,C13-T,C14-T,C15-T,C16-T,C17-T,C18-T,C19-T,C20-T,C21-T,C22-T,C23-T,C24-T,C25-T,C26-T
200804,company,3M Company,AB Volvo  (ADR),Alcoa Inc.,General Motors Corporation,Infosys Technologies Limited (,Intel Corporation,International Business Machine,Microsoft Corporation,"Nissan Motor Co., Ltd. (ADR)",Pearson PLC (ADR),"Pentair, Inc.",Piper Jaffray Companies,Potlatch Corporation,"Reliant Energy, Inc.","Restoration Hardware, Inc.",SAFECO Corporation,Safeway Inc.,Sea Containers Ltd.,Seagate Technology,Seneca Foods Corporation,Senior Housing Properties Trus,Tata Communications Limited (A,Tata Motors Limited (ADR),TCF Financial Corporation,"TeleCommunication Systems, Inc"
200803,,,,,,,,,,,,,,,,,,,,,,,,,,
200802,,,,,,,,,,,,,,,,,,,,,,,,,,
200801,,,,,,,,,,,,,,,,,,,,,,,,,,
200712,,,,,,,,,,,,,,,,,,,,,,,,,,
200711,,,,,,,,,,,,,,,,,,,,,,,,,,
200710,,,,,,,,,,,,,,,,,,,,,,,,,,
200709,,,,,,,,,,,,,,,,,,,,,,,,,,
200708,,,,,,,,,,,,,,,,,,,,,,,,,,
200707,,,,,,,,,,,,,,,,,,,,,,,,,,
200706,,,,,,,,,,,,,,,,,,,,,,,,,,
200705,,,,,,,,,,,,,,,,,,,,,,,,,,
200704,,,,,,,,,,,,,,,,,,,,,,,,,,
200703,,,,,,,,,,,,,,,,,,,,,,,,,,
200702,,,,,,,,,,,,,,,,,,,,,,,,,,
200701,,,,,,,,,,,,,,,,,,,,,,,,,,
200612,,,,,,,,,,,,,,,,,,,,,,,,,,
200611,,,,,,,,,,,,,,,,,,,,,,,,,,
200610,,,,,,,,,,,,,,,,,,,,,,,,,,
200609,,,,,,,,,,,,,,,,,,,,,,,,,,
200608,,,,,,,,,,,,,,,,,,,,,,,,,,
200607,,,,,,,,,,,,,,,,,,,,,,,,,,
200606,,,,,,,,,,,,,,,,,,,,,,,,,,
200605,,,,,,,,,,,,,,,,,,,,,,,,,,
200604,,,,,,,,,,,,,,,,,,,,,,,,,,
200603,,,,,,,,,,,,,,,,,,,,,,,,,,
200602,,,,,,,,,,,,,,,,,,,,,,,,,,
200601,,,,,,,,,,,,,,,,,,,,,,,,,,
200512,,,,,,,,,,,,,,,,,,,,,,,,,,
200511,,,,,,,,,,,,,,,,,,,,,,,,,,
200510,,,,,,,,,,,,,,,,,,,,,,,,,,
200509,,,,,,,,,,,,,,,,,,,,,,,,,,
200508,,,,,,,,,,,,,,,,,,,,,,,,,,
200507,,,,,,,,,,,,,,,,,,,,,,,,,,
200506,,,,,,,,,,,,,,,,,,,,,,,,,,
200505,,,,,,,,,,,,,,,,,,,,,,,,,,
200504,,,,,,,,,,,,,,,,,,,,,,,,,,
200503,,,,,,,,,,,,,,,,,,,,,,,,,,
200502,,,,,,,,,,,,,,,,,,,,,,,,,,
200501,,,,,,,,,,,,,,,,,,,,,,,,,,
200412,,,,,,,,,,,,,,,,,,,,,,,,,,
200411,,,,,,,,,,,,,,,,,,,,,,,,,,
200410,,,,,,,,,,,,,,,,,,,,,,,,,,
200409,,,,,,,,,,,,,,,,,,,,,,,,,,
200408,,,,,,,,,,,,,,,,,,,,,,,,,,
200407,,,,,,,,,,,,,,,,,,,,,,,,,,
200406,,,,,,,,,,,,,,,,,,,,,,,,,,
200405,,,,,,,,,,,,,,,,,,,,,,,,,,
200404,,,,,,,,,,,,,,,,,,,,,,,,,,
200403,,,,,,,,,,,,,,,,,,,,,,,,,,
200402,,,,,,,,,,,,,,,,,,,,,,,,,,
200401,,,,,,,,,,,,,,,,,,,,,,,,,,
200312,,,,,,,,,,,,,,,,,,,,,,,,,,
200311,,,,,,,,,,,,,,,,,,,,,,,,,,
200310,,,,,,,,,,,,,,,,,,,,,,,,,,
200309,,,,,,,,,,,,,,,,,,,,,,,,,,
200308,,,,,,,,,,,,,,,,,,,,,,,,,,
200307,,,,,,,,,,,,,,,,,,,,,,,,,,
200306,,,,,,,,,,,,,,,,,,,,,,,,,,
200305,,,,,,,,,,,,,,,,,,,,,,,,,,
