y,x,,,,,,
"65,792","63,488",,,,,,
"65,431","65,471",,,,,,
"66,717","65,956",,,,,,
"66,890","65,902",,,,,,
"70,177","67,077",,,,,,
"68,310","68,609",,,,,,
"69,130","70,849",,,,,,
"68,581","72,833",,,,,,
"70,197","77,670",,,,,,
"73,462","84,850",,,,,,
"76,127","87,110",,,,,,
"81,341","90,608",,,,,,
"85,650","96,553",,,,,,
"88,412","102,186",,,,,,
"95,418","105,235",,,,,,
"91,683","106,337",,,,,,
"85,707","102,106",,,,,,
"86,248","99,950",,,,,,
"81,543","98,031",,,,,,
"78,086","90,010",,,,,,
