value added,labor,capital
657.289978,162.3099976,279.9899902
935.9299927,214.4299927,542.5
1110.650024,186.4400024,721.5100098
1200.890015,245.8300018,1167.680054
1052.680054,211.3999939,811.7700195
3406.02002,690.6099854,4558.02002
2427.889893,452.7900085,3069.909912
4257.459961,714.2000122,5585.009766
1625.189941,320.5400085,1618.75
1272.050049,253.1699982,1562.079956
1004.450012,236.4400024,662.039978
598.8699951,140.7299957,875.3699951
853.0999756,145.0399933,1696.97998
1165.630005,240.2700043,1078.790039
1917.550049,536.7299805,2109.340088
9849.169922,1564.829956,13989.5498
1088.27002,214.6199951,884.2399902
8095.629883,1083.099976,9119.700195
3175.389893,521.7399902,5686.990234
1653.380005,304.8500061,1701.060059
5159.310059,835.6900024,5206.359863
3378.399902,284,3288.719971
592.8499756,105.7699966,357.3200073
1601.97998,259.9100037,2031.930054
2065.850098,497.6000061,2492.97998
2293.870117,275.2000122,1711.73999
745.6699829,137,768.5900269
