Gasoline,,,Diesel,
Date,Price/liter,,Date,Price/liter
1/4/2016,1.062,,1/4/2016,1.337
1/11/2016,1.056,,1/11/2016,1.339
1/18/2016,1.036,,1/18/2016,1.316
1/25/2016,1.012,,1/25/2016,1.296
2/1/2016,1.008,,2/1/2016,1.289
2/8/2016,1.017,,2/8/2016,1.285
2/15/2016,1.047,,2/15/2016,1.307
2/22/2016,1.058,,2/22/2016,1.307
2/29/2016,1.086,,2/29/2016,1.323
3/7/2016,1.096,,3/7/2016,1.327
3/14/2016,1.114,,3/14/2016,1.348
3/21/2016,1.128,,3/21/2016,1.369
3/28/2016,1.129,,3/28/2016,1.376
4/4/2016,1.130,,4/4/2016,1.400
4/11/2016,1.119,,4/11/2016,1.404
4/18/2016,1.130,,4/18/2016,1.415
4/25/2016,1.135,,4/25/2016,1.421
5/2/2016,1.123,,5/2/2016,1.400
5/9/2016,1.128,,5/9/2016,1.398
5/16/2016,1.115,,5/16/2016,1.380
5/23/2016,1.139,,5/23/2016,1.403
5/30/2016,1.157,,5/30/2016,1.417
6/6/2016,1.163,,6/6/2016,1.422
6/13/2016,1.163,,6/13/2016,1.418
6/20/2016,1.161,,6/20/2016,1.406
6/27/2016,1.158,,6/27/2016,1.408
7/4/2016,1.156,,7/4/2016,1.410
7/11/2016,1.151,,7/11/2016,1.391
7/19/2016,1.139,,7/19/2016,1.374
7/25/2016,1.132,,7/25/2016,1.368
8/1/2016,1.125,,8/1/2016,1.363
8/8/2016,1.107,,8/8/2016,1.353
8/15/2016,1.112,,8/15/2016,1.355
8/22/2016,1.137,,8/22/2016,1.371
8/29/2016,1.147,,8/29/2016,1.382
9/5/2016,1.147,,9/5/2016,1.379
9/12/2016,1.136,,9/12/2016,1.370
9/19/2016,1.136,,9/19/2016,1.375
9/26/2016,1.135,,9/26/2016,1.373
10/3/2016,1.141,,10/3/2016,1.374
10/10/2016,1.166,,10/10/2016,1.397
10/18/2016,1.182,,10/18/2016,1.404
10/24/2016,1.187,,10/24/2016,1.408
10/31/2016,1.189,,10/31/2016,1.408
11/7/2016,1.176,,11/7/2016,1.397
11/14/2016,1.159,,11/14/2016,1.379
11/21/2016,1.142,,11/21/2016,1.371
11/28/2016,1.166,,11/28/2016,1.394
12/5/2016,1.176,,12/5/2016,1.406
12/12/2016,1.189,,12/12/2016,1.420
12/19/2016,1.202,,12/19/2016,1.433
12/26/2016,1.213,,12/26/2016,1.444
1/2/2017,1.255,,1/2/2017,1.463
1/9/2017,1.278,,1/9/2017,1.468
1/16/2017,1.289,,1/16/2017,1.483
1/23/2017,1.287,,1/23/2017,1.498
1/30/2017,1.263,,1/30/2017,1.490
2/6/2017,1.266,,2/6/2017,1.493
2/13/2017,1.274,,2/13/2017,1.495
2/20/2017,1.274,,2/20/2017,1.498
2/27/2017,1.274,,2/27/2017,1.498
3/6/2017,1.277,,3/6/2017,1.492
3/13/2017,1.269,,3/13/2017,1.482
3/20/2017,1.246,,3/20/2017,1.460
3/27/2017,1.233,,3/27/2017,1.448
4/3/2017,1.234,,4/3/2017,1.461
4/10/2017,1.243,,4/10/2017,1.479
4/17/2017,1.259,,4/17/2017,1.491
4/24/2017,1.257,,4/24/2017,1.489
5/1/2017,1.242,,5/1/2017,1.471
5/8/2017,1.216,,5/8/2017,1.446
5/15/2017,1.207,,5/15/2017,1.436
5/22/2017,1.215,,5/22/2017,1.449
5/29/2017,1.225,,5/29/2017,1.454
6/5/2017,1.217,,6/5/2017,1.453
6/12/2017,1.190,,6/12/2017,1.437
6/19/2017,1.186,,6/19/2017,1.428
6/26/2017,1.182,,6/26/2017,1.420
7/3/2017,1.180,,7/3/2017,1.414
7/10/2017,1.196,,7/10/2017,1.420
7/18/2017,1.197,,7/18/2017,1.421
7/25/2017,1.198,,7/25/2017,1.425
7/31/2017,1.201,,7/31/2017,1.424
8/7/2017,1.212,,8/7/2017,1.432
8/14/2017,1.216,,8/14/2017,1.438
8/21/2017,1.212,,8/21/2017,1.436
8/28/2017,1.209,,8/28/2017,1.435
9/4/2017,1.216,,9/4/2017,1.458
9/11/2017,1.231,,9/11/2017,1.471
9/18/2017,1.234,,9/18/2017,1.462
9/25/2017,1.238,,9/25/2017,1.458
10/2/2017,1.255,,10/2/2017,1.452
10/9/2017,1.250,,10/9/2017,1.446
10/16/2017,1.248,,10/16/2017,1.446
10/23/2017,1.251,,10/23/2017,1.447
10/30/2017,1.255,,10/30/2017,1.455
11/6/2017,1.266,,11/6/2017,1.481
11/13/2017,1.283,,11/13/2017,1.511
11/20/2017,1.279,,11/20/2017,1.503
11/27/2017,1.280,,11/27/2017,1.493
12/4/2017,1.281,,12/4/2017,1.490
12/11/2017,1.278,,12/11/2017,1.485
12/18/2017,1.281,,12/18/2017,1.482
12/25/2017,1.285,,12/25/2017,1.485
,,,,
,,,,
Source: http://www.dgeg.gov.pt,,,,
